Product Title,Product category,Product Price,Product Description,Prime Status,Rating,Product Score,Product Link,Product availability,Image Sources
"Fine Baby Diapers, Size 3, Medium, 4-9 kg, 80 Diaper",Baby Products,‏309.38 جنيه,"['The new & improved Fine Baby provides your baby with longer-lasting dryness, all while helping you save more!', 'Thanks to its double lock technology, stretchy sides, leak barriers and super absorbent gel core, it helps prevent leakages so that your baby is comfortable throughout the day and night', 'It’s enriched with chamomile lotion and has a breathable back sheet that ensures maximal cottony softness to keep your baby’s skin healthy.', 'It is the only diaper in the world recommended by the Medical Wellness Association.']",Not Prime,4.3 out of 5 stars,100+ bought in past month,https://amazon.eg/-/en/dp/B0BH54X61F,In Stock,"['https://m.media-amazon.com/images/I/51t0k5VEehL._AC_US40_.jpg', 'https://m.media-amazon.com/images/I/51V6XEoEBXL._AC_US40_.jpg', 'https://m.media-amazon.com/images/I/51op9s1X-BL._AC_US40_.jpg', 'https://m.media-amazon.com/images/I/514qrVyxazL._AC_US40_.jpg', 'https://m.media-amazon.com/images/I/51a2iBbnR5L._AC_US40_.jpg', 'https://m.media-amazon.com/images/I/51GDqgqAgXL._AC_US40_.jpg', 'https://m.media-amazon.com/images/I/61iq45X90nL.SS40_BG85,85,85_BR-120_PKdp-play-icon-overlay__.png', 'https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif', 'https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif', 'https://m.media-amazon.com/images/I/71tyOQJmjNL.__AC_SX300_SY300_QL70_ML2_.jpg']"
Hero Baby Teething Biscuits for 6 Months,Grocery,‏93.89 جنيه,"['Brand: Hero Baby', 'Type: Biscuits', 'Size: 180 gm', 'Flavor: teething', 'Available in other flavors']",Not Prime,4.3 out of 5 stars,100+ bought in past month,https://amazon.eg/-/en/dp/B07P8B46DK,In Stock,"['https://m.media-amazon.com/images/I/41vrEKfeZ5L._AC_SR38,50_.jpg', 'https://m.media-amazon.com/images/I/51LjdMq--DL._AC_SR38,50_.jpg', 'https://m.media-amazon.com/images/I/51JWtFeKFiL._AC_SR38,50_.jpg', 'https://m.media-amazon.com/images/I/51yRaMfXGzL._AC_SR38,50_.jpg', 'https://m.media-amazon.com/images/I/411GmrDeVzL._AC_SR38,50_.jpg', 'https://m.media-amazon.com/images/I/81ppq505+NL.SX38_SY50_CR,0,0,38,50_BG85,85,85_BR-120_PKdp-play-icon-overlay__.png', 'https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif', 'https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif', 'https://m.media-amazon.com/images/I/71g9yY8tKtL.__AC_SX300_SY300_QL70_ML2_.jpg']"
2mx1.8m Kid Baby Play Mat Floor Activity Happy Farm Rug Child Crawling Carpet,Baby Products,‏293.00 جنيه,"['Soft floor surface for babies and children to play on from birth to school', 'The cushioned surface ensures a soft landing for rolling', 'Perfect for reducing noise and impact', 'Material: PE', 'Size :2m (L)x 1.8m(W) x 0.5cm(D)']",Not Prime,3.6 out of 5 stars,Score Not Found,https://amazon.eg/-/en/dp/B07MLXFJTJ,Usually ships within 2 to 3 days,"['https://m.media-amazon.com/images/I/51psvh4ujVL._AC_US40_.jpg', 'https://m.media-amazon.com/images/I/5177y8uVXcL._AC_US40_.jpg', 'https://m.media-amazon.com/images/I/51jKcHOTEWL._AC_US40_.jpg', 'https://m.media-amazon.com/images/I/41rLZOJHthL._AC_US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif', 'https://m.media-amazon.com/images/I/71HyNLnxMzL.__AC_SX300_SY300_QL70_ML2_.jpg']"
"Fine Baby Diapers, Size 2, Small, 3-6 kg, 58 Diaper",Baby Products,‏222.39 جنيه,"['The new & improved Fine Baby provides your baby with longer-lasting dryness, all while helping you save more!', 'Thanks to its double lock technology, stretchy sides, leak barriers and super absorbent gel core, it helps prevent leakages so that your baby is comfortable throughout the day and night', 'It’s enriched with chamomile lotion and has a breathable back sheet that ensures maximal cottony softness to keep your baby’s skin healthy.', 'It is the only diaper in the world recommended by the Medical Wellness Association.']",Not Prime,4.2 out of 5 stars,Score Not Found,https://amazon.eg/-/en/dp/B0BH4ZN5RC,In Stock,"['https://m.media-amazon.com/images/I/51hqXxuSwHL._AC_US40_.jpg', 'https://m.media-amazon.com/images/I/51nu5e+uvUL._AC_US40_.jpg', 'https://m.media-amazon.com/images/I/51LgmlNxdSL._AC_US40_.jpg', 'https://m.media-amazon.com/images/I/41OCyYthFWL._AC_US40_.jpg', 'https://m.media-amazon.com/images/I/51Agyx0wqKL._AC_US40_.jpg', 'https://m.media-amazon.com/images/I/51pYGr7yu5L._AC_US40_.jpg', 'https://m.media-amazon.com/images/I/61iq45X90nL.SS40_BG85,85,85_BR-120_PKdp-play-icon-overlay__.png', 'https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif', 'https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif', 'https://m.media-amazon.com/images/I/71+nYOXaD5L._AC_SY300_SX300_.jpg']"
"Buffer Lwvax waterproof silicone baby bib for feeding babies and toddlers, unisex set of 2 silicone baby bibs-random color",Baby Products,‏90.00 جنيه,"['✔ Bibs are made of highest quality silicone. Cotton bibs absorb fluids and drool and become infectious that can lead to infections and stomachache. Our baby bib keep your child healthy and clean.', '✔ SAVE MONEY - Each package comes with 2 bibs. One silicone bib lasts longer then 10 - 15 cloth bibs put together and over the life saves on water and laundry cost. Buy once don’t waste money. They are great bib for babies and are good bibs for baby boy and good bibs for baby girl.', '✔ SAVE FOOD -> ERGONOMIC DESIGN - Ergonomic pocket design catches falling food and drinks thus saving the love that you put in making best meals for your young champion. The pocket stays open, ready to save you time in cleaning the mess after mealtime. They are baby aprons for food and are perfect baby bibs 6 to 12 months.', '✔ QUALITY – Our bibs are certified with the highest standards. It is free of any toxin is made up of food-grade silicone. The feel of the material is extra smooth, the holes in the strap have been reinforced. It is a perfect silicon bibs for baby 1 year waterproof bib for feeding.', ""✔ 100% MONEY BACK GUARANTEE – You don't like it? No worries. No hassle refund and immediate support over phone.""]",Not Prime,2.4 out of 5 stars,Score Not Found,https://amazon.eg/-/en/dp/B07B6N776L,In Stock,"['https://m.media-amazon.com/images/I/316A70RHmOL._AC_US40_.jpg', 'https://m.media-amazon.com/images/I/41AoGZCqKcL._AC_US40_.jpg', 'https://m.media-amazon.com/images/I/414W12lRYML._AC_US40_.jpg', 'https://m.media-amazon.com/images/I/5163r6TDpRL._AC_US40_.jpg', 'https://m.media-amazon.com/images/I/31YdK1fi38L._AC_US40_.jpg', 'https://m.media-amazon.com/images/I/41576JjZjqL._AC_US40_.jpg', 'https://m.media-amazon.com/images/I/41Jqw0quXeL._AC_US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif', 'https://m.media-amazon.com/images/I/51kgKJuga6L.__AC_SX300_SY300_QL70_ML2_.jpg']"
Hero Baby Nutrasense 1-400g,Grocery,‏273.00 جنيه,About this item section not found.,Not Prime,4.4 out of 5 stars,Score Not Found,https://amazon.eg/-/en/dp/B09MKD8Y64,In Stock,"['https://m.media-amazon.com/images/I/41xPb4yotsL._AC_US40_.jpg', 'https://m.media-amazon.com/images/I/51hUyJlVL8L._AC_US40_.jpg', 'https://m.media-amazon.com/images/I/51ud+0oTqcL._AC_US40_.jpg', 'https://m.media-amazon.com/images/I/513zJ7xgA8L._AC_US40_.jpg', 'https://m.media-amazon.com/images/I/41rJ8-RDvmL._AC_US40_.jpg', 'https://m.media-amazon.com/images/I/41w+C-zgvAL._AC_US40_.jpg', 'https://m.media-amazon.com/images/I/815wlhgF+YL.SS40_BG85,85,85_BR-120_PKdp-play-icon-overlay__.png', 'https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif', 'https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif', 'https://m.media-amazon.com/images/I/61yA03xXrlL.__AC_SX300_SY300_QL70_ML2_.jpg']"
Hero Baby AR Formula Milk - 400g,Grocery,‏253.00 جنيه,"['Brand: Hero Baby', 'Type: milk', 'Size: 400 gm', 'Formula: Anti-regurgitation', 'age: from birth']",Not Prime,4.3 out of 5 stars,Score Not Found,https://amazon.eg/-/en/dp/B09MKD59M3,In Stock,"['https://m.media-amazon.com/images/I/41QGYhcdySL._AC_US40_.jpg', 'https://m.media-amazon.com/images/I/512mfQdED4L._AC_US40_.jpg', 'https://m.media-amazon.com/images/I/51k3+8t-eeL._AC_US40_.jpg', 'https://m.media-amazon.com/images/I/51zynxgd49L._AC_US40_.jpg', 'https://m.media-amazon.com/images/I/5168h13zCHL._AC_US40_.jpg', 'https://m.media-amazon.com/images/I/41OYKzxBY8L._AC_US40_.jpg', 'https://m.media-amazon.com/images/I/310IbuAt+9L._AC_US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif', 'https://m.media-amazon.com/images/I/71g595o+tWL._AC_SY300_SX300_.jpg']"
Hero Baby 2 Nutradefense Plus,Baby Products,‏239.00 جنيه,About this item section not found.,Not Prime,4.7 out of 5 stars,50+ bought in past month,https://amazon.eg/-/en/dp/B0B42NRDM2,In Stock,"['https://m.media-amazon.com/images/I/41tHkIf4KgL._AC_US40_.jpg', 'https://m.media-amazon.com/images/I/41maKgfosNL._AC_US40_.jpg', 'https://m.media-amazon.com/images/I/414DYaUmrSL._AC_US40_.jpg', 'https://m.media-amazon.com/images/I/419Ml7zrdUL._AC_US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif', 'https://m.media-amazon.com/images/I/61larRY2RaL.__AC_SX300_SY300_QL70_ML2_.jpg']"
Baby joy diapers culotte unisex l size 4-40 plus 4 pieces,Baby Products,‏210.00 جنيه,"['Brand: Baby Joy', 'Easy to maintain', 'Assures long lasting durability', 'Comes in a good packaging']",Not Prime,4.2 out of 5 stars,100+ bought in past month,https://amazon.eg/-/en/dp/B07BQQLLR4,In Stock,"['https://m.media-amazon.com/images/I/51qY79a1tpS._AC_US40_.jpg', 'https://m.media-amazon.com/images/I/510HAwCv5ML._AC_US40_.jpg', 'https://m.media-amazon.com/images/I/411ouSvDakL._AC_US40_.jpg', 'https://m.media-amazon.com/images/I/513UpRHFWnL._AC_US40_.jpg', 'https://m.media-amazon.com/images/I/41XA8Fxd+eL._AC_US40_.jpg', 'https://m.media-amazon.com/images/I/512SsDzeDrL._AC_US40_.jpg', 'https://m.media-amazon.com/images/I/81IIL-ML4eL.SS40_BG85,85,85_BR-120_PKdp-play-icon-overlay__.png', 'https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif', 'https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif', 'https://m.media-amazon.com/images/I/81x4FzUGf0S.__AC_SX300_SY300_QL70_ML2_.jpg']"
Blooming Baby Bath Sponge Mats with 8 Colour (99K),Baby Products,‏189.00 جنيه,About this item section not found.,Not Prime,3.2 out of 5 stars,Score Not Found,https://amazon.eg/-/en/dp/B096QY49XW,In Stock,"['https://m.media-amazon.com/images/I/51iSD+77quL._AC_US40_.jpg', 'https://m.media-amazon.com/images/I/41yIuWy27hL._AC_US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif', 'https://m.media-amazon.com/images/I/71ySq4PnAsL.__AC_SX300_SY300_QL70_ML2_.jpg']"
Penduline baby shower gel with banana and sweets scent 450ml,Baby Products,‏88.00 جنيه,"['PENDULINE Baby Shower Gel 450', 'Shower gel is a unique sulfate free formula made up of natura', 'Apply A Suitable Amount Of Penduline Shower Gel On Your Kids’ Skin Then Rinse Thoroughly', 'LS Free, Paraben Free, and free from any harmful ingredients. Tear Free, sensitivity free and Dry free']",Not Prime,4.5 out of 5 stars,200+ bought in past month,https://amazon.eg/-/en/dp/B096L78KF3,In Stock,"['https://m.media-amazon.com/images/I/41pRck2EpZL._AC_US40_.jpg', 'https://m.media-amazon.com/images/I/41pRck2EpZL._AC_US40_.jpg', 'https://m.media-amazon.com/images/I/41WvwHjyeCL._AC_US40_.jpg', 'https://m.media-amazon.com/images/I/41WvwHjyeCL._AC_US40_.jpg', 'https://m.media-amazon.com/images/I/A10x0vGsKgL.SS40_BG85,85,85_BR-120_PKdp-play-icon-overlay__.png', 'https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif', 'https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif', 'https://m.media-amazon.com/images/I/61WMpLCt0PL.__AC_SX300_SY300_QL70_ML2_.jpg']"
BabyStar Bottle and Teats Cleanser 380ML,Baby Products,‏81.49 جنيه,About this item section not found.,Not Prime,4.6 out of 5 stars,500+ bought in past month,https://amazon.eg/-/en/dp/B09Z33Q7YV,In Stock,"['https://m.media-amazon.com/images/I/31is18cnNcL._AC_US40_.jpg', 'https://m.media-amazon.com/images/I/31lWLGScf2L._AC_US40_.jpg', 'https://m.media-amazon.com/images/I/41MJNvHwv9L._AC_US40_.jpg', 'https://m.media-amazon.com/images/I/413-SQM9wdL._AC_US40_.jpg', 'https://m.media-amazon.com/images/I/41eSz+iPfqL._AC_US40_.jpg', 'https://m.media-amazon.com/images/I/41SgsgW4qbL._AC_US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif', 'https://m.media-amazon.com/images/I/41PSRDCpjrL.__AC_SX300_SY300_QL70_ML2_.jpg']"
"HonestBaby Baby Organic Cotton Multi-Layer Burp Cloths Multipack, Bright White, One Size",,‏166.00 جنيه,"['Includes 4 pack organic cotton cuddle squares burp cloths', '100% organic, GOTS certified, breathable cotton – great for sensitive skin', ""The Honest Company 4 Pack Organic Cotton Cuddle Squares Burp Cloths are everyday essentials that you can never have enough of. Made with organic cotton, these are soft on baby's face and easy to wash and dry. They're soft, they're organic, they're Honest.""]",Not Prime,5.0 out of 5 stars,Score Not Found,https://amazon.eg/-/en/dp/B09JLKR95H,In Stock,"['https://m.media-amazon.com/images/I/312LtWnb9KL._AC_US40_.jpg', 'https://m.media-amazon.com/images/I/31m6XHixhBL._AC_US40_.jpg', 'https://m.media-amazon.com/images/I/31MOxWtbVlL._AC_US40_.jpg', 'https://m.media-amazon.com/images/I/41XyeE9A5RL._AC_US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif', 'https://m.media-amazon.com/images/I/61Gqk7AlAfL.__AC_SX300_SY300_QL70_ML2_.jpg']"
"Babyjoy stretch new born diapers, no lumping - 60 pieces",Baby Products,‏197.00 جنيه,"['Brand: BabyJoy.', 'Designed to perfection', 'Comes in a safe and secure packaging']",Not Prime,4.4 out of 5 stars,100+ bought in past month,https://amazon.eg/-/en/dp/B08WJJPJ83,In Stock,"['https://m.media-amazon.com/images/I/41vm6and0VS._AC_US40_.jpg', 'https://m.media-amazon.com/images/I/41t19dmlLpL._AC_US40_.jpg', 'https://m.media-amazon.com/images/I/418i92YbdgL._AC_US40_.jpg', 'https://m.media-amazon.com/images/I/41G9scSE4wL._AC_US40_.jpg', 'https://m.media-amazon.com/images/I/41lDZve6K1L._AC_US40_.jpg', 'https://m.media-amazon.com/images/I/41K4ZDtG8VL._AC_US40_.jpg', 'https://m.media-amazon.com/images/I/81F4LU-8i3L.SS40_BG85,85,85_BR-120_PKdp-play-icon-overlay__.png', 'https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif', 'https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif', 'https://m.media-amazon.com/images/I/816MY3RyEUS.__AC_SX300_SY300_QL70_ML2_.jpg']"
